"firstname","lastname","stint1tire","stint1lap","stint2tire","stint2lap","stint3tire","stint3lap","stint4tire","stint4lap","stint5tire","stint5lap","stint6tire","stint6lap","stint7tire","stint7lap","stint8tire","stint8lap","stint9tire","stint9lap","stint10tire","stint10lap","raceid","driverid"
"Valtteri","Bottas","C3","26","C1","15","C2","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1029","822"
"Kevin","Magnussen","C3","27","C2","26","C3","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1029","825"
"Daniil","Kvyat","C2","21","C3","18","C4","16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","826"
"Daniil","Kvyat","C2","23","C3","23","C3","25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1029","826"
"Max","Verstappen","C3","13","C2","21","C3","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","830"
"Max","Verstappen","C3","21","C3","23","C2","10","C3","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1029","830"
"Carlos","Sainz","C4","18","C2","37",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","832"
"Carlos","Sainz","C3","29","C2","42",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1029","832"
"Lance","Stroll","C3","28","C2","25","C3","12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1029","840"
"Antonio","Giovinazzi","C3","20","C2","26","C3","25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1029","841"
"Pierre","Gasly","C3","22","C2","25","C3","24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1029","842"
"Charles","Leclerc","C3","20","C2","22","C4","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","844"
"Charles","Leclerc","C2","29","C1","25","C3","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1029","844"
"Lando","Norris","C4","19","C2","23","C3","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","846"
"Lando","Norris","C3","27","C1","26","C2","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1029","846"
"George","Russell","C2","23","C2","31","C3","12","C3","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1029","847"
"Alexander","Albon","C4","1","C3","19","C3","20","C4","16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1028","848"
"Alexander","Albon","C3","24","C2","26","C3","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1029","848"
"Lewis","Hamilton","C4","26","C2","45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1031","1"
"Kimi","Raikkonen","C4","22","C3","32",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1030","8"
"Robert","Kubica","C3","24","C4","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1030","9"
"Sebastian","Vettel","C3","26","C2","25","C4","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1031","20"
"Romain","Grosjean","C4","18","C3","36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1030","154"
"Nico","Hulkenberg","C5","18","C4","36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1030","807"
